source,id,create
"Ministre auprès du Président de la République, chargé des Relations avec les institutions de la République",Q115125604,Minister for Relations with the Institutions of the Republic
"Ministre de l'Économie numérique, des télécommunications et de l'innovation",Q115125606,"Minister of Digital Economy, Telecommunications and Innovation"
"Ministre de la Communication, des médias et de la francophoniePorte-parole du gouvernement",Q115125605,"Minister of Communication, Media and the Francophonie"
Ministre de la Culture et de l'industrie des arts et des spectacles,Q79897138,Minister of Culture and the Arts and shows industry
"Ministre de la Promotion des PME, de l'artisanat et de la transformation du secteur informel",Q115125608,Minister of SMEs and the Artisanal and Informal Sectors
"Ministre de la Promotion, de l’Investissement et du développement du secteur privé",Q115125607,Minister of Investment Promotion and the Development of the Private Sector
"Ministre de la Santé,de l'Hygiène publique et de la couverture maladie universelle",Q114777321,"Minister of Health, Public Hygiene and Universal Indiscovery"
Ministre de l’Enseignement technique et de la Formation professionnelle et de l'apprentissage,Q114787386,Minister of Technical Education and Vocational Training and Learning
Ministre de l’Hydraulique,Q115125451,Minister of Hydraulics
"Ministre des Mines, du pétrole et de l'énergie",Q114787381,"Minister of Mines, Oil and Energy"
Ministre du Budget et du Portefeuille de l’État,Q114787371,Minister of Budget and State portfolio
"Ministre délégué, chargé de l'Intégration africaine",Q115125603,Minister Delegate in charge of African integration
"Ministre, Directeur du cabinet du Président de la République",Q115125609,Minister-Director of the Cabinet
"Ministre, Secrétaire général de la présidence de la République",Q115125610,Minister-Secretary General of the Presidency
Secrétaire d'État chargé de la Modernisation de l'administration,Q115125612,Secretary of State for Modernisation
Secrétaire d'État chargé des Affaires maritimes,Q115125611,Secretary of State for Maritime Affairs
Secrétaire d'État chargé du Logement social,Q115125613,Secretary of State for Social Housing
Secrétaire d'État chargée de la Protection sociale,Q115125614,Secretary of State for Social Protection
